r Qm L_r M_r T P rho kap eps clim rcf dlPdlT
-7801718713.7368126 5.0625713635135776 -9.7987905043399404e+51 -8.0804544420285065e+33 296576981.08029163 1.707425499402511e+20 3673.6434863891823 0.35127869437106407 4.0822218486712205e+17 " " c 2.2140125584743426
-7787959068.7390385 5.0431616690249497 -9.7829605582097997e+51 -8.0418485596906258e+33 296928108.97694892 1.7119043003408463e+20 3677.9202254821062 0.35127471539175659 4.1186010878516141e+17 " " c 2.2134081955246789
-7774199423.7412643 5.0237979742367278 -9.7670276099991608e+51 -8.0033341707568513e+33 297278794.4347111 1.7163826556499601e+20 3682.1861313453505 0.35127075684342729 4.1551909581602874e+17 " " c 2.2128038306425908
-7760439778.7434902 5.0044803738372172 -9.7509915963372374e+51 -7.9649114635622257e+33 297629036.12853181 1.7208605220999656e+20 3686.4411929237799 0.3512668186057038 4.1919916077260538e+17 " " c 2.2121994680888988
-7746680133.7457161 4.985208961546542 -9.7348524603614741e+51 -7.9265806245160715e+33 297978832.73585278 1.7253378564708323e+20 3690.6853993722102 0.3512629005590836 4.2290031751888384e+17 " " c 2.2115951121338102
-7732920488.747942 4.9659838301168744 -9.7186101517546085e+51 -7.8883418381024628e+33 298328182.93660426 1.7298146155531623e+20 3694.9187400551018 0.35125900258492698 4.2662257896553875e+17 " " c 2.2109907670545557
-7719160843.7501678 4.9468050713327028 -9.7022646267811248e+51 -7.850195286880746e+33 298677085.4132058 1.7342907561489616e+20 3699.1412045462171 0.35125512456545005 4.303659570655344e+17 " " c 2.2103864371385127
-7705401198.7523937 4.9276727760111143 -9.6858158483230717e+51 -7.8121411514861071e+33 299025538.85056639 1.7387662350724085e+20 3703.3527826282993 0.35125126638371756 4.3413046280982054e+17 " " c 2.2097821266794417
-7691641553.7546196 4.9085870340021076 -9.669263785915252e+51 -7.7741796106301923e+33 299373541.93608481 1.7432410091506152e+20 3707.5534642927241 0.35124742792363634 4.3791610622308813e+17 " " c 2.2091778399804558
-7677881908.7568455 4.8895479341889239 -9.6526084157797694e+51 -7.7363108411017708e+33 299721093.35964972 1.7477150352243891e+20 3711.7432397391572 0.35124360906994795 4.4172289635957606e+17 " " c 2.2085735813527512
